variable1,var1_domain,variable2,var2_domain,coef
varU,domain1,varI,domain2,-0.504130809
varZ,domain3,varR,domain1,0.509351596
varM,domain4,varN,domain2,-0.768231579
varZ,domain5,varE,domain6,0.409767777
varG,domain2,varB,domain7,0.504238332
varP,domain2,varT,domain3,0.410723292
varA,domain2,varX,domain2,-0.420768975
varN,domain5,varF,domain2,-0.548051043
varC,domain8,varV,domain5,0.470697322
varD,domain8,varI,domain5,0.4686419
varT,domain2,varK,domain7,-0.514457173
varO,domain1,varO,domain4,-0.538644512
varV,domain8,varG,domain2,-0.417685327
varA,domain8,varI,domain4,-0.582913676
varJ,domain7,varC,domain5,0.406735098
varN,domain2,varO,domain7,0.45967525
varT,domain6,varO,domain3,0.593232026
varK,domain4,varL,domain7,0.498802416
varA,domain1,varH,domain8,-0.719278269
varV,domain2,varK,domain7,0.56252074
varJ,domain4,varT,domain8,0.415706335
varA,domain7,varH,domain1,-0.403832528
varX,domain6,varV,domain3,0.585886522
varY,domain5,varS,domain6,-0.426311322
varR,domain7,varE,domain2,0.946500197
varG,domain4,varC,domain7,0.63073726
varQ,domain6,varO,domain8,-0.518446398
varU,domain5,varD,domain2,0.499034048
varX,domain7,varF,domain8,-0.464202102
varE,domain2,varO,domain8,-0.817495095
varQ,domain4,varS,domain2,0.414914228
varK,domain2,varV,domain8,-0.550741219
varZ,domain5,varY,domain2,0.535121674
varH,domain7,varS,domain2,-0.400309175
varG,domain8,varH,domain6,0.434464705
varO,domain6,varV,domain3,0.491566802
varK,domain5,varM,domain4,0.417806148
varB,domain5,varN,domain6,-0.600613031
varE,domain7,varK,domain8,0.687056955
varI,domain3,varT,domain6,0.561725363
varJ,domain3,varD,domain1,-0.504858782
varL,domain7,varX,domain6,-0.844996834
varU,domain5,varW,domain5,0.428973637
varF,domain8,varM,domain2,-0.609450064
varY,domain5,varD,domain1,0.655535983
